rank,name
1,NovakDjokovic
2,CarlosAlcaraz
3,DaniilMedvedev
4,JannikSinner
5,AndreyRublev
6,AlexanderZverev
7,HolgerRune
8,HubertHurkacz
9,TaylorFritz
10,StefanosTsitsipas
11,AlexDeMinaur
12,CasperRuud
13,GrigorDimitrov
14,FrancesTiafoe
15,TommyPaul
16,BenShelton
17,AdrianMannarino
18,KarenKhachanov
19,CameronNorrie
20,NicolasJarry
21,UgoHumbert
22,FranciscoCerundolo
23,AlejandroDavidovichFokina
24,JanLennardStruff
25,SebastianBaez
26,LorenzoMusetti
27,AlexanderBublik
28,TomasMartinEtcheverry
29,TallonGriekspoor
30,FelixAugerAliassime
31,JiriLehecka
32,ChristopherEubanks
33,SebastianKorda
34,LasloDjere
35,ArthurFils
36,RomanSafiullin
37,BornaCoric
38,MatteoArnaldi
39,AslanKaratsev
40,SebastianOfner
41,MiomirKecmanovic
42,DanielEvans
43,MaxPurcell
44,JordanThompson
45,AlexeiPopyrin
46,LorenzoSonego
47,NunoBorges
48,MackenzieMcdonald
49,AndyMurray
50,ZhizhenZhang
51,JackDraper
52,DanielAltmaier
53,DusanLajovic
54,AlejandroTabilo
55,EmilRuusuvuori
56,StanWawrinka
57,FabianMarozsan
58,YannickHanfmann
59,AlexanderShevchenko
60,DominikKoepfer
61,PavelKotov
62,TaroDaniel
63,BoticVanDeZandschulp
64,ChristopherOconnell
65,RobertoCarballesBaena
66,TomasMachac
67,MarcosGiron
68,LucaVanAssche
69,AleksandarVukic
70,GaelMonfils
71,AlexandreMuller
72,PedroCachin
73,AlexMichelsen
74,RinkyHijikata
75,JaumeMunar
76,FlavioCobolli
77,JJWolf
78,ThanasiKokkinakis
79,DanielElahiGalan
80,BernabeZapataMiralles
81,ThiagoSeybothWild
82,MartonFucsovics
83,ArthurCazaux
84,YoshihitoNishioka
85,AleksandarKovacevic
86,AlbertRamos
87,JuanPabloVarillas
88,HugoGaston
89,CristianGarin
90,DominicThiem
91,BornaGojo
92,MaximilianMarterer
93,ArthurRinderknech
94,FacundoDiazAcosta
95,DominicStricker
96,BrandonNakashima
97,LiamBroady
98,JamesDuckworth
99,PedroMartinez
100,QuentinHalys